Type,Die,Move Name,Power,STAB,Effect 1,Effect 2,Effect 3,STAB?,Move,File Name,Move:color,Japanese,Move - Japanese,French,Move - French,German,Move - German,Italian,Move - Italian,Spanish,Move - Spanish,Korean,Move - Korean,Chinese,Move - Chinese
{Bug},,Defend Order,0,0,{B Dis 1},,,False,{Bug}Defend Order{0}{B Dis 1},Defend Order,c1db70,ぼうぎょしれい,{Bug}ぼうぎょしれい{0}{B Dis 1},Appel Défense,{Bug}Appel Défense{0}{B Dis 1},Blockbefehl,{Bug}Blockbefehl{0}{B Dis 1},Comandoscudo,{Bug}Comandoscudo{0}{B Dis 1},A Defender,{Bug}A Defender{0}{B Dis 1},방어지령,{Bug}방어지령{0}{B Dis 1},防禦指令 / 防御指令,{Bug}防禦指令 / 防御指令{0}{B Dis 1}
{Bug},,Heal Order,0,0,{W Life},,,False,{Bug}Heal Order{0}{W Life},Heal Order,c1db70,かいふくしれい,{Bug}かいふくしれい{0}{W Life},Appel Soins,{Bug}Appel Soins{0}{W Life},Heilbefehl,{Bug}Heilbefehl{0}{W Life},Comandocura,{Bug}Comandocura{0}{W Life},Auxilio,{Bug}Auxilio{0}{W Life},회복지령,{Bug}회복지령{0}{W Life},回復指令 / 回复指令,{Bug}回復指令 / 回复指令{0}{W Life}
{Bug},,Quiver Dance,0,0,{W Adv 1},{B Dis 1},,False,{Bug}Quiver Dance{0}{W Adv 1}{B Dis 1},Quiver Dance,c1db70,ちょうのまい,{Bug}ちょうのまい{0}{W Adv 1}{B Dis 1},Papillodanse,{Bug}Papillodanse{0}{W Adv 1}{B Dis 1},Falterreigen,{Bug}Falterreigen{0}{W Adv 1}{B Dis 1},Eledanza,{Bug}Eledanza{0}{W Adv 1}{B Dis 1},Danza Aleteo,{Bug}Danza Aleteo{0}{W Adv 1}{B Dis 1},나비춤,{Bug}나비춤{0}{W Adv 1}{B Dis 1},蝶舞,{Bug}蝶舞{0}{W Adv 1}{B Dis 1}
{Bug},,Silk Trap,0,0,{W Prot 1},,,False,{Bug}Silk Trap{0}{W Prot 1},Silk Trap,c1db70,スレッドトラップ,{Bug}スレッドトラップ{0}{W Prot 1},Piège de Fil,{Bug}Piège de Fil{0}{W Prot 1},Fadenfalle,{Bug}Fadenfalle{0}{W Prot 1},Telatrappola,{Bug}Telatrappola{0}{W Prot 1},Telatrampa,{Bug}Telatrampa{0}{W Prot 1},스레드트랩,{Bug}스레드트랩{0}{W Prot 1},線阱 / 线阱,{Bug}線阱 / 线阱{0}{W Prot 1}
{Bug},,Spider Web,0,0,{W Adv 1},{B Lock},,False,{Bug}Spider Web{0}{W Adv 1}{B Lock},Spider Web,c1db70,クモのす,{Bug}クモのす{0}{W Adv 1}{B Lock},Toile,{Bug}Toile{0}{W Adv 1}{B Lock},Spinnennetz,{Bug}Spinnennetz{0}{W Adv 1}{B Lock},Ragnatela,{Bug}Ragnatela{0}{W Adv 1}{B Lock},Telaraña,{Bug}Telaraña{0}{W Adv 1}{B Lock},거미집,{Bug}거미집{0}{W Adv 1}{B Lock},蛛網 / 蛛网,{Bug}蛛網 / 蛛网{0}{W Adv 1}{B Lock}
{Bug},,String Shot,0,0,{W Priority},,,False,{Bug}String Shot{0}{W Priority},String Shot,c1db70,いとをはく,{Bug}いとをはく{0}{W Priority},Sécrétion,{Bug}Sécrétion{0}{W Priority},Fadenschuss,{Bug}Fadenschuss{0}{W Priority},Millebave,{Bug}Millebave{0}{W Priority},Disparo Demora,{Bug}Disparo Demora{0}{W Priority},실뿜기,{Bug}실뿜기{0}{W Priority},吐絲 / 吐丝,{Bug}吐絲 / 吐丝{0}{W Priority}
{Bug},,Tail Glow,0,0,{W DoubAdv 1},,,False,{Bug}Tail Glow{0}{W DoubAdv 1},Tail Glow,c1db70,ほたるび,{Bug}ほたるび{0}{W DoubAdv 1},Lumi-Queue,{Bug}Lumi-Queue{0}{W DoubAdv 1},Schweifglanz,{Bug}Schweifglanz{0}{W DoubAdv 1},Codadiluce,{Bug}Codadiluce{0}{W DoubAdv 1},Luminicola,{Bug}Luminicola{0}{W DoubAdv 1},반딧불,{Bug}반딧불{0}{W DoubAdv 1},螢火 / 萤火,{Bug}螢火 / 萤火{0}{W DoubAdv 1}
{Dark},,Baddy Bad,3,3,{B Dis 1},,,False,{Dark}Baddy Bad{3}{B Dis 1},Baddy Bad,607c91,わるわるゾーン,{Dark}わるわるゾーン{3}{B Dis 1},Évo-Ténébro,{Dark}Évo-Ténébro{3}{B Dis 1},Quälzone,{Dark}Quälzone{3}{B Dis 1},Zona Buiabuia,{Dark}Zona Buiabuia{3}{B Dis 1},Umbreozona,{Dark}Umbreozona{3}{B Dis 1},아그아그존,{Dark}아그아그존{3}{B Dis 1},壞壞領域 / 坏坏领域,{Dark}壞壞領域 / 坏坏领域{3}{B Dis 1}
{Dark},,Beat Up,*,*,,,,#VALUE!,{Dark}Beat Up{*},Beat Up,607c91,ふくろだたき,{Dark}ふくろだたき{*},Baston,{Dark}Baston{*},Prügler,{Dark}Prügler{*},Picchiaduro,{Dark}Picchiaduro{*},Paliza,{Dark}Paliza{*},집단구타,{Dark}집단구타{*},圍攻 / 围攻,{Dark}圍攻 / 围攻{*}
{Dark},{d8},Shadow Blast,3,3,,,,False,{d8}{Dark}Shadow Blast{3},Shadow Blast,607c91,シャドウブラスト,{d8}{Dark}シャドウブラスト{3},Explosion d'ombre,{d8}{Dark}Explosion d'ombre{3},Schattenstoß,{d8}{Dark}Schattenstoß{3},Esplosione d'ombra,{d8}{Dark}Esplosione d'ombra{3},Explosión de sombra,{d8}{Dark}Explosión de sombra{3},섀도우 블래스트,{d8}{Dark}섀도우 블래스트{3},暗影冲击,{d8}{Dark}暗影冲击{3}
{Dark},,Dark Nova,2,2,{W Rage},,,False,{Dark}Dark Nova{2}{W Rage},Dark Nova,607c91,ダークノヴァ,{Dark}ダークノヴァ{2}{W Rage},Nova sombre,{Dark}Nova sombre{2}{W Rage},Dunkle Nova,{Dark}Dunkle Nova{2}{W Rage},Nova Oscura,{Dark}Nova Oscura{2}{W Rage},Nova oscura,{Dark}Nova oscura{2}{W Rage},다크노바,{Dark}다크노바{2}{W Rage},黑暗新星,{Dark}黑暗新星{2}{W Rage}
{Dark},,Dark Void,0*,0*,{B Sleep 4},,,#VALUE!,{Dark}Dark Void{0*}{B Sleep 4},Dark Void,607c91,ダークホール,{Dark}ダークホール{0*}{B Sleep 4},Trou Noir,{Dark}Trou Noir{0*}{B Sleep 4},Schlummerort,{Dark}Schlummerort{0*}{B Sleep 4},Vuototetro,{Dark}Vuototetro{0*}{B Sleep 4},Brecha Negra,{Dark}Brecha Negra{0*}{B Sleep 4},다크홀,{Dark}다크홀{0*}{B Sleep 4},暗黑洞,{Dark}暗黑洞{0*}{B Sleep 4}
{Dark},,Embargo,0,0,{B Block},,,False,{Dark}Embargo{0}{B Block},Embargo,607c91,さしおさえ,{Dark}さしおさえ{0}{B Block},Embargo,{Dark}Embargo{0}{B Block},Itemsperre,{Dark}Itemsperre{0}{B Block},Divieto,{Dark}Divieto{0}{B Block},Embargo,{Dark}Embargo{0}{B Block},금제,{Dark}금제{0}{B Block},查封,{Dark}查封{0}{B Block}
{Dark},,Fake Tears,0,0,{W DoubAdv 1},,,False,{Dark}Fake Tears{0}{W DoubAdv 1},Fake Tears,607c91,うそなき,{Dark}うそなき{0}{W DoubAdv 1},Croco Larme,{Dark}Croco Larme{0}{W DoubAdv 1},Trugträne,{Dark}Trugträne{0}{W DoubAdv 1},Falselacrime,{Dark}Falselacrime{0}{W DoubAdv 1},Llanto Falso,{Dark}Llanto Falso{0}{W DoubAdv 1},거짓울음,{Dark}거짓울음{0}{W DoubAdv 1},假哭,{Dark}假哭{0}{W DoubAdv 1}
{Dark},,Flatter,0,0,{B Conf 1},,,False,{Dark}Flatter{0}{B Conf 1},Flatter,607c91,おだてる,{Dark}おだてる{0}{B Conf 1},Flatterie,{Dark}Flatterie{0}{B Conf 1},Schmeichler,{Dark}Schmeichler{0}{B Conf 1},Adulazione,{Dark}Adulazione{0}{B Conf 1},Camelo,{Dark}Camelo{0}{B Conf 1},부추기기,{Dark}부추기기{0}{B Conf 1},吹捧,{Dark}吹捧{0}{B Conf 1}
