Type,Die,Move Name,Power,STAB,Effect 1,Effect 2,Effect 3,STAB?,Move,File Name,Move:color,Japanese,Move - Japanese,French,Move - French,German,Move - German,Italian,Move - Italian,Spanish,Move - Spanish,Korean,Move - Korean,Chinese,Move - Chinese
{Bug},{d8},Attack Order,2,3,,,,True,{d8}{Bug}Attack Order{3},Attack Order (S),c1db70,こうげきしれい,{d8}{Bug}こうげきしれい{3},Appel Attak,{d8}{Bug}Appel Attak{3},Schlagbefehl,{d8}{Bug}Schlagbefehl{3},Comandourto,{d8}{Bug}Comandourto{3},Al Ataque,{d8}{Bug}Al Ataque{3},공격지령,{d8}{Bug}공격지령{3},攻擊指令 / 攻击指令,{d8}{Bug}攻擊指令 / 攻击指令{3}
{Bug},,Bug Bite,2,3,,,,True,{Bug}Bug Bite{3},Bug Bite (S),c1db70,むしくい,{Bug}むしくい{3},Piqûre,{Bug}Piqûre{3},Käferbiss,{Bug}Käferbiss{3},Coleomorso,{Bug}Coleomorso{3},Picadura,{Bug}Picadura{3},벌레먹음,{Bug}벌레먹음{3},蟲咬 / 虫咬,{Bug}蟲咬 / 虫咬{3}
{Bug},,Bug Buzz,2,3,{W Adv 6},,,True,{Bug}Bug Buzz{3}{W Adv 6},Bug Buzz (S),c1db70,むしのさざめき,{Bug}むしのさざめき{3}{W Adv 6},Bourdon,{Bug}Bourdon{3}{W Adv 6},Käfergebrumm,{Bug}Käfergebrumm{3}{W Adv 6},Ronzio,{Bug}Ronzio{3}{W Adv 6},Zumbido,{Bug}Zumbido{3}{W Adv 6},벌레의야단법석,{Bug}벌레의야단법석{3}{W Adv 6},蟲鳴 / 虫鸣,{Bug}蟲鳴 / 虫鸣{3}{W Adv 6}
{Bug},,Fell Stinger,1*,2*,,,,#VALUE!,{Bug}Fell Stinger{2*},Fell Stinger (S),c1db70,とどめばり,{Bug}とどめばり{2*},Dard Mortel,{Bug}Dard Mortel{2*},Stachelfinale,{Bug}Stachelfinale{2*},Pungiglione,{Bug}Pungiglione{2*},Aguijón Letal,{Bug}Aguijón Letal{2*},마지막일침,{Bug}마지막일침{2*},致命針刺 / 致命针刺,{Bug}致命針刺 / 致命针刺{2*}
{Bug},,First Impression,2,3,{W Priority},{W Recharge},,True,{Bug}First Impression{3}{W Priority}{W Recharge},First Impression (S),c1db70,であいがしら,{Bug}であいがしら{3}{W Priority}{W Recharge},Escarmouche,{Bug}Escarmouche{3}{W Priority}{W Recharge},Überrumpler,{Bug}Überrumpler{3}{W Priority}{W Recharge},Schermaglia,{Bug}Schermaglia{3}{W Priority}{W Recharge},Escaramuza,{Bug}Escaramuza{3}{W Priority}{W Recharge},만나자마자,{Bug}만나자마자{3}{W Priority}{W Recharge},迎頭一擊 / 迎头一击,{Bug}迎頭一擊 / 迎头一击{3}{W Priority}{W Recharge}
{Bug},,Fury Cutter,1,2,{W Repeat},,,True,{Bug}Fury Cutter{2}{W Repeat},Fury Cutter (S),c1db70,れんぞくぎり,{Bug}れんぞくぎり{2}{W Repeat},Taillade,{Bug}Taillade{2}{W Repeat},Zornklinge,{Bug}Zornklinge{2}{W Repeat},Tagliofuria,{Bug}Tagliofuria{2}{W Repeat},Corte Furia,{Bug}Corte Furia{2}{W Repeat},연속자르기,{Bug}연속자르기{2}{W Repeat},連斬 / 连斩,{Bug}連斬 / 连斩{2}{W Repeat}
{Bug},{d4},Infestation,1,2,{W Add 4},,,True,{d4}{Bug}Infestation{2}{W Add 4},Infestation (S),c1db70,まとわりつく,{d4}{Bug}まとわりつく{2}{W Add 4},Harcèlement,{d4}{Bug}Harcèlement{2}{W Add 4},Plage,{d4}{Bug}Plage{2}{W Add 4},Assillo,{d4}{Bug}Assillo{2}{W Add 4},Acoso,{d4}{Bug}Acoso{2}{W Add 4},엉겨붙기,{d4}{Bug}엉겨붙기{2}{W Add 4},死纏爛打 / 死缠烂打,{d4}{Bug}死纏爛打 / 死缠烂打{2}{W Add 4}
{Bug},,Leech Life,2,3,{W Life},,,True,{Bug}Leech Life{3}{W Life},Leech Life (S),c1db70,きゅうけつ,{Bug}きゅうけつ{3}{W Life},Vampirisme,{Bug}Vampirisme{3}{W Life},Blutsauger,{Bug}Blutsauger{3}{W Life},Sanguisuga,{Bug}Sanguisuga{3}{W Life},Chupavidas,{Bug}Chupavidas{3}{W Life},흡혈,{Bug}흡혈{3}{W Life},吸血,{Bug}吸血{3}{W Life}
{Bug},,Lunge,2,3,{B Dis 1},,,True,{Bug}Lunge{3}{B Dis 1},Lunge (S),c1db70,とびかかる,{Bug}とびかかる{3}{B Dis 1},Furie-Bond,{Bug}Furie-Bond{3}{B Dis 1},Anfallen,{Bug}Anfallen{3}{B Dis 1},Assalto,{Bug}Assalto{3}{B Dis 1},Plancha,{Bug}Plancha{3}{B Dis 1},덤벼들기,{Bug}덤벼들기{3}{B Dis 1},猛撲 / 猛扑,{Bug}猛撲 / 猛扑{3}{B Dis 1}
{Bug},,Megahorn,3,4,,,,True,{Bug}Megahorn{4},Megahorn (S),c1db70,メガホーン,{Bug}メガホーン{4},Mégacorne,{Bug}Mégacorne{4},Vielender,{Bug}Vielender{4},Megacorno,{Bug}Megacorno{4},Megacuerno,{Bug}Megacuerno{4},메가폰,{Bug}메가폰{4},超級角擊 / 超级角击,{Bug}超級角擊 / 超级角击{4}
{Bug},{d4},Pin Missile,1,2,{W Add 4},,,True,{d4}{Bug}Pin Missile{2}{W Add 4},Pin Missile (S),c1db70,ミサイルばり,{d4}{Bug}ミサイルばり{2}{W Add 4},Dard-Nuée,{d4}{Bug}Dard-Nuée{2}{W Add 4},Nadelrakete,{d4}{Bug}Nadelrakete{2}{W Add 4},Missilspillo,{d4}{Bug}Missilspillo{2}{W Add 4},Pin Misil,{d4}{Bug}Pin Misil{2}{W Add 4},바늘미사일,{d4}{Bug}바늘미사일{2}{W Add 4},飛彈針 / 飞弹针,{d4}{Bug}飛彈針 / 飞弹针{2}{W Add 4}
{Bug},,Pollen Puff,2,3,,,,True,{Bug}Pollen Puff{3},Pollen Puff (S),c1db70,かふんだんご,{Bug}かふんだんご{3},Boule Pollen,{Bug}Boule Pollen{3},Pollenknödel,{Bug}Pollenknödel{3},Sferapolline,{Bug}Sferapolline{3},Bola de Polen,{Bug}Bola de Polen{3},꽃가루경단,{Bug}꽃가루경단{3},花粉團 / 花粉团,{Bug}花粉團 / 花粉团{3}
{Bug},,Pounce,1,2,,,,True,{Bug}Pounce{2},Pounce (S),c1db70,とびつく,{Bug}とびつく{2},Bond,{Bug}Bond{2},Anspringen,{Bug}Anspringen{2},Balzo,{Bug}Balzo{2},Brinco,{Bug}Brinco{2},달려들기,{Bug}달려들기{2},蟲撲 / 虫扑,{Bug}蟲撲 / 虫扑{2}
{Bug},,Signal Beam,2,3,{B Conf 6},,,True,{Bug}Signal Beam{3}{B Conf 6},Signal Beam (S),c1db70,シグナルビーム,{Bug}シグナルビーム{3}{B Conf 6},Rayon Signal,{Bug}Rayon Signal{3}{B Conf 6},Ampelleuchte,{Bug}Ampelleuchte{3}{B Conf 6},Segnoraggio,{Bug}Segnoraggio{3}{B Conf 6},Rayo Señal,{Bug}Rayo Señal{3}{B Conf 6},시그널빔,{Bug}시그널빔{3}{B Conf 6},信號光束 / 信号光束,{Bug}信號光束 / 信号光束{3}{B Conf 6}
{Bug},,Silver Wind,2,3,{AdvDis 6},,,True,{Bug}Silver Wind{3}{AdvDis 6},Silver Wind (S),c1db70,ぎんいろのかぜ,{Bug}ぎんいろのかぜ{3}{AdvDis 6},Vent Argenté,{Bug}Vent Argenté{3}{AdvDis 6},Silberhauch,{Bug}Silberhauch{3}{AdvDis 6},Ventargenteo,{Bug}Ventargenteo{3}{AdvDis 6},Viento Plata,{Bug}Viento Plata{3}{AdvDis 6},은빛바람,{Bug}은빛바람{3}{AdvDis 6},銀色旋風 / 银色旋风,{Bug}銀色旋風 / 银色旋风{3}{AdvDis 6}
