Type,Die,Move Name,Power,STAB,Effect 1,Effect 2,Effect 3,STAB?,Move,File Name,Move:color,Japanese,Move - Japanese,French,Move - French,German,Move - German,Italian,Move - Italian,Spanish,Move - Spanish,Korean,Move - Korean,Chinese,Move - Chinese
{Bug},{d8},Attack Order,2,3,,,,True,{d8}{Bug}Attack Order{2},Attack Order,c1db70,こうげきしれい,{d8}{Bug}こうげきしれい{2},Appel Attak,{d8}{Bug}Appel Attak{2},Schlagbefehl,{d8}{Bug}Schlagbefehl{2},Comandourto,{d8}{Bug}Comandourto{2},Al Ataque,{d8}{Bug}Al Ataque{2},공격지령,{d8}{Bug}공격지령{2},攻擊指令 / 攻击指令,{d8}{Bug}攻擊指令 / 攻击指令{2}
{Bug},,Bug Bite,2,3,,,,True,{Bug}Bug Bite{2},Bug Bite,c1db70,むしくい,{Bug}むしくい{2},Piqûre,{Bug}Piqûre{2},Käferbiss,{Bug}Käferbiss{2},Coleomorso,{Bug}Coleomorso{2},Picadura,{Bug}Picadura{2},벌레먹음,{Bug}벌레먹음{2},蟲咬 / 虫咬,{Bug}蟲咬 / 虫咬{2}
{Bug},,Bug Buzz,2,3,{W Adv 6},,,True,{Bug}Bug Buzz{2}{W Adv 6},Bug Buzz,c1db70,むしのさざめき,{Bug}むしのさざめき{2}{W Adv 6},Bourdon,{Bug}Bourdon{2}{W Adv 6},Käfergebrumm,{Bug}Käfergebrumm{2}{W Adv 6},Ronzio,{Bug}Ronzio{2}{W Adv 6},Zumbido,{Bug}Zumbido{2}{W Adv 6},벌레의야단법석,{Bug}벌레의야단법석{2}{W Adv 6},蟲鳴 / 虫鸣,{Bug}蟲鳴 / 虫鸣{2}{W Adv 6}
{Bug},,Fell Stinger,1*,2*,,,,#VALUE!,{Bug}Fell Stinger{1*},Fell Stinger,c1db70,とどめばり,{Bug}とどめばり{1*},Dard Mortel,{Bug}Dard Mortel{1*},Stachelfinale,{Bug}Stachelfinale{1*},Pungiglione,{Bug}Pungiglione{1*},Aguijón Letal,{Bug}Aguijón Letal{1*},마지막일침,{Bug}마지막일침{1*},致命針刺 / 致命针刺,{Bug}致命針刺 / 致命针刺{1*}
{Bug},,First Impression,2,3,{W Priority},{W Recharge},,True,{Bug}First Impression{2}{W Priority}{W Recharge},First Impression,c1db70,であいがしら,{Bug}であいがしら{2}{W Priority}{W Recharge},Escarmouche,{Bug}Escarmouche{2}{W Priority}{W Recharge},Überrumpler,{Bug}Überrumpler{2}{W Priority}{W Recharge},Schermaglia,{Bug}Schermaglia{2}{W Priority}{W Recharge},Escaramuza,{Bug}Escaramuza{2}{W Priority}{W Recharge},만나자마자,{Bug}만나자마자{2}{W Priority}{W Recharge},迎頭一擊 / 迎头一击,{Bug}迎頭一擊 / 迎头一击{2}{W Priority}{W Recharge}
{Bug},,Fury Cutter,1,2,{W Repeat},,,True,{Bug}Fury Cutter{1}{W Repeat},Fury Cutter,c1db70,れんぞくぎり,{Bug}れんぞくぎり{1}{W Repeat},Taillade,{Bug}Taillade{1}{W Repeat},Zornklinge,{Bug}Zornklinge{1}{W Repeat},Tagliofuria,{Bug}Tagliofuria{1}{W Repeat},Corte Furia,{Bug}Corte Furia{1}{W Repeat},연속자르기,{Bug}연속자르기{1}{W Repeat},連斬 / 连斩,{Bug}連斬 / 连斩{1}{W Repeat}
{Bug},{d4},Infestation,1,2,{W Add 4},,,True,{d4}{Bug}Infestation{1}{W Add 4},Infestation,c1db70,まとわりつく,{d4}{Bug}まとわりつく{1}{W Add 4},Harcèlement,{d4}{Bug}Harcèlement{1}{W Add 4},Plage,{d4}{Bug}Plage{1}{W Add 4},Assillo,{d4}{Bug}Assillo{1}{W Add 4},Acoso,{d4}{Bug}Acoso{1}{W Add 4},엉겨붙기,{d4}{Bug}엉겨붙기{1}{W Add 4},死纏爛打 / 死缠烂打,{d4}{Bug}死纏爛打 / 死缠烂打{1}{W Add 4}
{Bug},,Leech Life,2,3,{W Life},,,True,{Bug}Leech Life{2}{W Life},Leech Life,c1db70,きゅうけつ,{Bug}きゅうけつ{2}{W Life},Vampirisme,{Bug}Vampirisme{2}{W Life},Blutsauger,{Bug}Blutsauger{2}{W Life},Sanguisuga,{Bug}Sanguisuga{2}{W Life},Chupavidas,{Bug}Chupavidas{2}{W Life},흡혈,{Bug}흡혈{2}{W Life},吸血,{Bug}吸血{2}{W Life}
{Bug},,Lunge,2,3,{B Dis 1},,,True,{Bug}Lunge{2}{B Dis 1},Lunge,c1db70,とびかかる,{Bug}とびかかる{2}{B Dis 1},Furie-Bond,{Bug}Furie-Bond{2}{B Dis 1},Anfallen,{Bug}Anfallen{2}{B Dis 1},Assalto,{Bug}Assalto{2}{B Dis 1},Plancha,{Bug}Plancha{2}{B Dis 1},덤벼들기,{Bug}덤벼들기{2}{B Dis 1},猛撲 / 猛扑,{Bug}猛撲 / 猛扑{2}{B Dis 1}
{Bug},,Megahorn,3,4,,,,True,{Bug}Megahorn{3},Megahorn,c1db70,メガホーン,{Bug}メガホーン{3},Mégacorne,{Bug}Mégacorne{3},Vielender,{Bug}Vielender{3},Megacorno,{Bug}Megacorno{3},Megacuerno,{Bug}Megacuerno{3},메가폰,{Bug}메가폰{3},超級角擊 / 超级角击,{Bug}超級角擊 / 超级角击{3}
