
#### real weather effects
"Electric Terrain", "ELECTRIC TERRAIN", "Electro-type moves get +1 Attack Strength."
"Grassy Terrain", "GRASSY TERRAIN", "Grass-type moves get +1 Attack Strength."
"Hail", "HAIL", "Pokémon that are not Ice-type receive -1 to their final attack value."
"Mist","MIST","Pokémon on this team are unaffected by any Disadvantage or Double Disadvantage effects used by the other team."
"Misty Terrain","MISTY TERRAIN","Fairy-type moves get +1 Attack Strength and Dragon-type moves get -1 Attack Strength."
"Psychic Terrain","PSYCHIC TERRAIN","Psychic-type moves get +1 Attack Strength."
"Rain","RAIN","Water-type moves get +1 Attack Strength and Fire-type moves get -1 Attack Strength."
"Renewal","RENEWAL","Pokémon on this team add the Life Recovery effect to their chosen move."
"Safeguard","SAFEGUARD","Pokémon on this team cannot gain any Statuses."
"Sandstorm","SANDSTORM","Pokémon that are not Ground, Rock, or Steel-type receive -1 to their final attack value."
"Spikes","SPIKES","Pokémon on this team receive -1 to their final attack value for the Battle Round they enter the battle."
"Stealth Rock","STEALTH ROCK","Pokémon on this team with a weakness to Rock-type moves receive -2 to their final attack value, any other receives -1. Rock-type and Pokémon that resist Rock-type moves are unaffected by this card."
"Harsh Sunlight","HARSH SUNLIGHT","Fire-type moves get +1 Attack Strength and Water-type moves get -1 Attack Strength."
"Toxic Spikes","TOXIC SPIKES","Pokémon on this team receive the Poisoned Status when entering the battle."

### Status conditions
"Burn","Burned","Attack Strength of this Pokémon's moves is reduced by 1 (minimum 0). At the end of a battle round involving this Pokémon, add a counter to this status. When this status has 4 counters, this Pokémon faits. Discard this status upon fainting."
"Conf","Confused","If this Pokémon rolls an odd number on its Attack Roll, add their chosen move's Attack Strength to the opponents final attack total. Discard this status if this Pokémon exits battle or upon fainting."
"Froz","Frozen","This Pokémon cannot select a move. They attack with a type-less move with an Attack Strength of 0. Before selecting a move roll a D4. On a 4 or upon fainting, discard this status."
"Curs","Cursed","At the end of the round, add a counter to this status. When this status has 2 counters, this Pokémon faints. Discard this status if this Pokémon exits battle or upon fainting. Only 1 Pokémon per team may gain the Cursed status in a battle."
"Para","Paralyzed","This Pokémon cannot select a move. They attack with a type-less move with an Attack Strength of 0. At the end of the battle round, flip this status over."
"Pois","Poisoned","At the end of a battle round involving this Pokémon, or after every 3 spaces moved on your turn, add a counter to this status. When this status has 4 counters, this Pokémon faints. Poisoned Pokémon always lose ties, regardless of the kind of battle. If to Poisoned Pokémon tie, they both faint. Discard this status upon fainting."
"Slee","Sleep","This Pokémon cannot select a move. They attack with a type-less move with an Attack Strength of 0. Before moves are selected, remove 1 counter from this status. If there are no counters left or upon fainting, discard this status."

### weather effect on move
"Clear", "FIELD CLEAR", "After the effect rolls this round, discard all Field Move cards in play."
"Electric Terrain", "ELECTRIC TERRAIN", "Play the Electric Terrain Field Move card."
"Grassy Terrain", "GRASSY TERRAIN", "Play the Grassy Terrain Field Move card."
"Hail", "HAIL", "Play the Hail Field Move card."
"Mist", "MIST", "Play the Mist Field Move card."
"Misty Terrain", "MISTY TERRAIN", "Play the Misty Terrain Field Move card."
"Psychic Terrain", "PSYCHIC TERRAIN", "Play the Psychic Terrain Field Move card."
"Rain", "RAIN", "Play the Rain Field Move card."
"Renewal", "RENEWAL", "Play the Renewal Field Move card."
"Safeguard", "SAFEGUARD", "Play the Safeguard Field Move card."
"Sandstorm", "SANDSTORM", "Play the Sandstorm Field Move card."
"Spikes","SPIKES","Play the Spikes Field Move card."
"Stealth Rock", "STEALTH ROCK", "Play the Stealth Rock Field Move card."
"Sunny", "HARSH SUNLIGHT", "Play the Harsh Sunlight Field Move card."
"Toxic Spikes", "TOXIC SPIKES", "Play the Toxic Spikes Field Move card."

#### Additional effects
"W Adv", "ADVANTAGE", "User rolls 1 extra attack die and discards the lowest result."
"W DoubAdv","DOUBLE ADVANTAGE","User rolls 2 extra attack dice and discards the two lowest results."
"W KO", "K.O. (Self)", "User faints at the end of the round."
"W Switch", "SWITCHOUT (SELF)", "After applying the opponents move effects, the user is switched out of battle with another from its team, but the switched in Pokémon uses this move for this battle round. This effect does not apply to wild or Gym Leader Pokémon."
"W Conf","CONFUSION (SELF)", "User gains the Confused status."
"W PRIORITY","PRIORITY", "Any effects used by the opponent’s Pokémon that target the user are ignored until the end of the round. No effect if the opponent has Protection."
"W StatDown","STAT DOWN", "Beginning next battle round, user gains Disadvantage until the end of the battle (or until switched out)."
"W Ignore","IGNORE TYPE", "Do not apply any type effectiveness bonuses/penalties to this move."
"W Recharge","RECHARGE", "Once used, the user cannot select this move for the rest of the battle or until the user is switched out."
"W Prot","PROTECTION", "This battle round, the Attack Strength of the opponents move becomes 0 and all move effects that target the user are ignored."
"W Reversal","REVERSAL", "User adds the Attack Strength of the opponent’s selected move to this move."
"W Repeat","REPEAT", "The Attack Strength of this move increases by 1 for each successive round it has been used this battle, up to 3 times."
"W Rage","ENRAGED", "User gains Advantage for this battle round if the opposing Pokémon uses a move with an Attack Strength greater than 0."
"W Add","ADD DIE", "User rolls an extra attack die and the results are added together."
"W D4","D4", "User must roll 4-sided die for their attack roll."
"W D8","HIGH CRIT (D8)", "User must roll 8-sided die for the attack roll (treating 7 as a 5 and 8 as a 6)."
"W You","1/2 LEVEL (SELF)", "The Attack Strength of this move is equal to half the level of the user (rounded down)."
"W Life","LIFE RECOVERY", "Add 1/3 of the user’s Attack Roll (rounded down) to the final total."
"W Boost","CONDITION BOOST", "This move gains 1 Attack Strength this round if the opponent has a status condition during your attack roll."
"W Revival","REVIVAL", "Revive a Pokémon on the users team immediately after effect die rolls. Only one Pokémon per battle, per team can be revived this way"
"W Status","STATUS HEAL", "Roll a 4-sided die. Remove that many statuses from users team immediately after effect die rolls."

"B Dis", "DISADVANTAGE", "Opponent rolls 1 extra attack die and discards the highest result."
"B DoubDis", "DOUBLE DISADVANTAGE", "Opponent rolls 2 extra attack dice and discards the 2 highest results."
"B KO", "K.O. (OPPONENT)","Opponent Pokémon faints at the end of the round."
"B Switch","SWITCHOUT (OPPONENT)","Before applying their move effects, the opponent Pokémon is switched out of battle with another from its team at random. The switched in Pokémon then selects a move to use. This effect does not apply to wild Pokémon, Gym Leader Pokémon, or Pokémon with Priority or Protection."
"B Block","BLOCK ITEM","Opponent Pokémon cannot make use of their attach card for the remainder of the battle or until switched out."
"B Lock","ESCAPE PREVENTION","For the rest of the battle, the opponent Pokémon cannot be switched out."
"B Conf","CONFUSION (OPPONENT)","Opponent gains the Confused status."
"B Burn","BURN","Opponent gains the Burned status."
"B Freeze","FREEZE","Opponent gains the Frozen status."
"B Pois","POISON","Opponent gains the Poisoned status."
"B Sleep","SLEEP","Opponent gains the Sleep status."
"B Curse","CURSE","Opponent gains the Cursed status."
"B Para","PARALYZE","Opponent gains the Paralyzed status."
"B Opp","1/2 LEVEL (OPPONENT)","The Attack Strength of this move is equal to half the level of the oppponent (rounded down)."

#### G-MAX/MAX Moves
"{MAX} Strike","STRIKE","User gains Priority while Dynamaxed/Gigantamaxed."
"{MAX} Knuckle","KNUCKLE","User gains Advantage while Dynamaxed/Gigantamaxed."
"{MAX} Airstream","AIRSTREAM","User gains Priority while Dynamaxed/Gigantamaxed."
"{MAX} Ooze","OOZE","User gains Advantage while Dynamaxed/Gigantamaxed."
"{MAX} Quake","QUAKE","Opponent Pokémon has Disadvantage for the rest of the battle or until switched out."
"{MAX} Rockfall","ROCKFALL","Play the Sandstorm Field Move card."
"{MAX} Flutterby","FLUTTERBY","Opponent Pokémon has Disadvantage for the rest of the battle or until switched out."
"{MAX} Phantasm","PHANTASM","User gains Advantage while Dynamaxed/Gigantamaxed."
"{MAX} Steelspike","Steelspike","Opponent Pokémon has Disadvantage for the rest of the battle or until switched out."
"{MAX} Flare","FLARE","Play the Harsh Sunlight Field Move card."
"{MAX} Geyser","GEYSER","Play the Rain Field Move card."
"{MAX} Overgrowth","OVERGROWTH","Play the Grassy Terrain Field Move card."
"{MAX} Lightning","LIGHTNING","Play the Electric Terrain Field Move card."
"{MAX} Mindstorm","MINDSTORM","Play the Psychic Terrain Field Move card."
"{MAX} Hailstorm","HAILSTORM","Play the Hail Field Move card."
"{MAX} Wyrmwind","WYRMWIND","Opponent Pokémon has Disadvantage for the rest of the battle or until switched out."
"{MAX} Darkness","DARKNESS","User gains Advantage while Dynamaxed/Gigantamaxed."
"{MAX} Starfall","STARFALL","Play the Misty Terrain Field Move card."
"{MAX} Guard","GUARD","User gains Protection - This battle round, the Attack Strength of the opponents move becomes 0 and all move effects that target the user are ignored."

"{G-MAX} Befunddle", "BEFUDDLE", "Roll the effect die: 1-2: Opponent gains the Poisoned status. 3-4: Opponent gains the Paralyzed status. 5-6: Opponent gains the Sleep status."
"{G-MAX} Depletion", "Depletion", "The move used by the opponent Pokémon this round gains Recharge (This effect can only be applied to one of the opponent Pokémon moves)."
"{G-MAX Gold Rush} ", "GOLD RUSH", "User draws an item or collects 4 PokéCoins at the end of the battle. This effect does not stack."
"{G-MAX} Gravitas", "GRAVITAS", "Flying-type Pokémon do not resist Ground-type moves for the remainder of the battle."
"{G-MAX} Meltdown", "MELTDOWN", "The opponent Pokémon cannot use the same move in consecutive rounds for the rest of the battle."
"{G-MAX} One Blow", "ONE BLOW", "Ignore the effects of Protection on your opponents moves for this battle round."
"{G-MAX} Rapid Flow", "RAPID FLOW", "Ignore the effects of Protection on your opponents moves for this battle round."
"{G-MAX} Replenish", "REPLENISH", "User takes an attach item of choice from the discard and adds it to their hand (This effect can only be used once per battle)."
"{G-MAX} Stun Shock", "STUN SHOCK", "Roll the effect die: 1-3: Opponent gains the Poisoned status. 4-6: Opponent gains the Paralyzed status."
"{G-MAX} Wind Rage", "WIND RAGE", "Discard all Field Move cards in play. No more Field Move cards can be played for the rest of this battle."

#### Normal Moves
"Aura Wheel", "Aura Wheel", "If Morpeko uses this move, it must change to it’s alternate form at the end of this battle round."
"Acrobatics", "Acrobatics", "Increase the Attack Strength of this move by 1 if the user does not have an Attach Item equipped."

